GPU Name,Transistor Count,Release Date
NVIDIA NV1,1 million,"Sep 30th, 1995"
NVIDIA STG-2000,1 million,"Sep 30th, 1995"
NVIDIA Riva 128,4 million,"Apr 1st, 1997"
NVIDIA Riva 128 PCI,4 million,"Apr 1st, 1997"
NVIDIA Riva 128ZX,4 million,"Feb 23rd, 1998"
NVIDIA Riva TNT,7 million,"Mar 23rd, 1998"
NVIDIA GeForce 256 DDR,17 million,"Dec 23rd, 1999"
NVIDIA GeForce 256 SDR,17 million,"Oct 11th, 1999"
NVIDIA Quadro,17 million,1999
NVIDIA Riva TNT2,15 million,"Oct 12th, 1999"
NVIDIA Riva TNT2 M64,15 million,"Oct 12th, 1999"
NVIDIA Riva TNT2 M64 Vanta,15 million,"Mar 22nd, 1999"
NVIDIA Riva TNT2 M64 Vanta-16,15 million,"Mar 22nd, 1999"
NVIDIA Riva TNT2 PRO,15 million,"Oct 12th, 1999"
